Problem Name,Category,Cause,Symptoms,Impact,Solution
Rainfall,Climatic Conditions,High rainfall,"High rainfall, La nina, El nino","High rainfall during the flowering period can be detrimental as it tends to promote vegetative growth rather than the development of flowers, reduce rambutan yield",Rambutan planting timing
Temprature,Climatic Conditions,Temprature too low or high,"Severely affecting growth, causing defoliation, and impacting the emergence of panicles and subsequent fruiting","The plant is particularly sensitive to low temperatures, with temperatures below 10°C capable of severely affecting its growth, causing defoliation, and impacting the emergence of panicles and subsequent fruiting.14 High temperatures exceeding 40°C can also negatively influence the plant's growth and development","Best location for Rambutan is approximately 12 to 15 degree of equator, hot and humid climate are the best"
Humidity,Climatic Conditions,Low humidity,"No fruits, small size, low output, etc",Negative impact on the development of the fruits,"Reguralry spraying the leafs, planting in high humidity area are the best option"
Soil Type,Soil Characteristics,Low humidity,Negatively affect root health,Negative impact on the development of the fruits,"Well-drained sandy-loam to clay-loam soils that are rich in organic matter, slightly sloping land tend to exhibit better performance"
pH Levels,Soil Characteristic,Low acidic or alkaline in soil,"No fruits, small size, low output, etc",Negative impact on the development of the fruits,"Maintaining ideal soil pH range between 4.5 and 6.5, indicating a preference for slightly acidic to neutral conditions"
Nitrogen deficiency,Nutrient Deficiencies,Nitrogen deficiency,"Stunted growth, yellowing of the leaves, and poor fruit production","Poor fruit production, low selling value","Nitrogen based fertilizer, fetaher meal, cottonseed meal, fish emulsion, hoof and horn meal, compost, neem seed oil, bat guano"
Potassium deficiency,Nutrient Deficiencies,Potassium deficiency,"Edges of the leaves turning yellow or brown, with a scorched appearance","Poor fruit production, reduces the plant's ability to photosynthesize, negatively impact its growth and the yield of fruit","Pottasium based fertilizer, banana peel, wood ash, manure, compost, fish emulsion, granite dust, bat guano"
Iron and Zinc deficiency,Nutrient Deficiencies,Iron and Zinc deficiency,"foliage to turn yellow, a condition known as chlorosis","Poor fruit production, reduces the plant's ability to photosynthesize, negatively impact its growth and the yield of fruit","Iron and Zinc based fertilizer, chelated iron, iron sulfate, compost, manure, zinc sulphate(ZnSO 4), zinc oxyde(ZnO), zinc carbonate(ZnCO 3), zinc sulfide(ZnS)"
Dehydration,Post-harvest problems,Dehydration,"Quality decline in rambutan fruit after it has been harvested, leading to a loss of weight and a reduction in its visual appeal, browning of the skin and the spines of the fruit","Reduction in fruit weight, quality, visual appearence. Yield to low selling value","Maintaining a high level of humidity, store the fruit in sealed polyethylene film bags or plastic containers"
Browning,Post-harvest problems,"Dehydration, physical damage that occurs during handling, as well as enzymatic reactions, particularly those involving polyphenol oxidase",Browning of the fruit's peel and spines,"The fruit looks less attractive, rots quickly, and has a negative impact on fruit sales.","Various post-harvest treatments, such as soaking the fruit in a solution of sodium nitroprusside. Maintaining fruit quality, storing rambutan in a controlled atmosphere with elevated levels of carbon dioxide can also be effective in reducing color loss. Sell within 1 - 2 day after harvesting"
Fruit Rot,Post-harvest disease,"Range of fungal pathogens: Colletotrichum gloeosporioides, anthracnose, Botryodiplodia theobromae, Pestalotiopsis spp",Decay of rambutan fruit,"Short self life, monetary loss","Chemical treatments, hot water treatments, the use of essential oils, and biopesticides"
Stem-End Rot,Post-harvest disease,Botryodiplodia theobromae,Stem-end rot include the development of a dark brown lesion at the stem end of the fruit,Softening and discoloration of the fruit's flesh,"Careful harvesting and handling practices, minimize physical damage to the fruit, harvesting the fruit with a short section of the stem still attached"
Brown Spot,Post-harvest disease,"Funggus, Gliocephalotrichum microchlamydosporum","Appearance of light brown, water-soaked areas on the fruit's outer layer (pericarp) and the pulp, there may be visible growth of greyish-brown fungal mycelia","Short shelf life, monetary loss",Implementing careful harvesting and handling techniques to prevent physical damage to the fruit is crucial
Poor Filling,Pre-harvest problem,Inadequate nutrition and dry conditions shortly after the flowering period,Poor filling of the fruit,Selling value,"Proper orchard management practices, including adequate fertilization and water supply during critical growth stages"
Storage life,Storage Conditions,"Temprature, humidity too high or low, ","Faster natural deterioration processes, color loss","Selling value drop, short shelf life","Maintain optimal temperature 8 to 15 degree celcius, high relative humidity of 90 to 95%. Under these conditions, the fruit can typically be stored for about 14 to 16 days. Used controlled athmospheres, with composition of 7 - 12% CO2, 3-5% O2, temperature of 10 degree celcius. Can help extend shelf life"
